,Score,Passing,Rushing,Total Offense,Kicking,Punting,First Downs,Downs,Penalties,Turnovers,,Rk,Gtm,Week,Date,Day,,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,Yds,Att,Yds,TD,Y/A,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Yds,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,Pen,Yds,FL,Int,TO,ToP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2023-09-11,Mon,,BUF,W,22,16,OT,14,22,63.6,117,1,5.3,4.18,73.5,3,23,28,172,0,6.1,53,289,5.45,3,3,1,1,4,174,7,5,1,13,5,13,1,1,2,10,0,1,1,27:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2023-09-17,Sun,@,DAL,L,10,30,,12,27,44.4,151,1,5.6,1.33,35.2,3,19,16,64,0,4.0,46,215,4.67,1,1,1,1,5,241,6,4,2,12,1,10,1,1,5,29,1,3,4,17:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2023-09-24,Sun,,NWE,L,10,15,,18,36,50.0,133,0,3.7,3.69,59.1,3,24,22,38,1,1.7,61,171,2.80,1,1,1,1,8,410,6,5,1,12,2,14,1,2,3,15,0,0,0,28:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2023-10-01,Sun,,KAN,L,20,23,,28,39,71.8,228,2,5.8,6.87,103.4,2,17,16,108,0,6.8,57,336,5.89,2,1,1,1,5,214,12,5,1,18,5,12,0,0,7,42,1,0,1,27:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2023-10-08,Sun,@,DEN,W,31,21,,19,26,73.1,173,0,6.7,4.92,74.7,4,26,32,234,1,7.3,62,407,6.56,5,5,2,2,3,156,10,8,0,18,3,12,0,0,9,71,1,1,2,34:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2023-10-15,Sun,,PHI,W,20,14,,19,33,57.6,155,0,4.7,4.70,69.6,5,31,21,89,1,4.2,59,244,4.14,4,4,0,0,4,194,9,5,3,17,2,11,0,1,9,68,0,0,0,29:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,2023-10-29,Sun,@,NYG,W,13,10,OT,17,36,47.2,193,1,5.4,5.92,73.0,4,47,22,58,0,2.6,62,251,4.05,2,2,1,1,11,529,8,2,2,12,2,15,0,1,9,85,2,0,2,25:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,2023-11-06,Mon,,LAC,L,6,27,,33,49,67.3,206,0,4.2,4.20,75.7,8,57,20,64,0,3.2,77,270,3.51,2,2,0,0,7,352,12,2,3,17,3,17,3,4,8,40,3,0,3,34:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,2023-11-12,Sun,@,LVR,L,12,16,,23,40,57.5,257,0,6.4,5.30,66.4,2,6,21,108,0,5.1,63,365,5.79,4,4,0,0,5,276,11,3,0,14,7,16,0,0,8,83,0,1,1,29:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
