,Rushing,Receiving,Scrimmage,,,Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,22,RB,17,16,223,994,5,40,39.5,83,4.5,58.5,13.1,95,76,591,7.8,4,28,40.0,50,4.5,34.8,80.0,6.2,299,5.3,1585,9,2,AP CPoY-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,23,WR,17,17,4,0,0,1,50.0,,0.0,0.0,0.2,168,95,1042,11.0,3,47,44.0,68,5.6,61.3,56.5,6.2,99,10.5,1042,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Conklin,28,TE,17,12,1,0,0,0,0.0,,0.0,0.0,0.1,87,61,621,10.2,0,27,44.8,37,3.6,36.5,70.1,7.1,62,10.0,621,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Lazard,28,WR,14,12,0,0,0,0,,,,0.0,0.0,49,23,311,13.5,1,17,40.8,39,1.6,22.2,46.9,6.3,23,13.5,311,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Gipson,22,WR,17,3,8,68,1,4,62.5,18,8.5,4.0,0.5,38,21,229,10.9,0,9,34.2,36,1.2,13.5,55.3,6.0,29,10.2,297,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalvin Cook,28,RB,15,1,67,214,0,10,38.8,14,3.2,14.3,4.5,20,15,78,5.2,0,3,30.0,15,1.0,5.2,75.0,3.9,82,3.6,292,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Wilson,24,QB,12,11,36,211,0,7,41.7,20,5.9,17.6,3.0,0,0,0,,0,0,,,0.0,0.0,,,36,5.9,211,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Ruckert,23,TE,15,6,0,0,0,0,,,,0.0,0.0,22,16,151,9.4,0,6,50.0,23,1.1,10.1,72.7,6.9,16,9.4,151,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel Abanikanda,21,RB,6,0,22,70,0,3,36.4,12,3.2,11.7,3.7,11,7,43,6.1,0,2,36.4,13,1.2,7.2,63.6,3.9,29,3.9,113,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Carter,24,RB,9,0,8,38,0,2,25.0,9,4.8,4.2,0.9,20,15,68,4.5,0,4,30.0,10,1.7,7.6,75.0,3.4,23,4.6,106,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Uzomah,30,TE,12,8,0,0,0,0,,,,0.0,0.0,12,8,58,7.3,1,5,58.3,19,0.7,4.8,66.7,4.8,8,7.3,58,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Brownlee,24,WR,7,5,0,0,0,0,,,,0.0,0.0,8,5,56,11.2,1,2,50.0,24,0.7,8.0,62.5,7.0,5,11.2,56,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Siemian,32,QB,5,3,11,40,0,5,54.5,13,3.6,8.0,2.2,0,0,0,,0,0,,,0.0,0.0,,,11,3.6,40,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randall Cobb,33,WR,11,1,0,0,0,0,,,,0.0,0.0,17,5,39,7.8,1,3,17.6,15,0.5,3.5,29.4,2.3,5,7.8,39,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Yeboah,25,TE,5,1,0,0,0,0,,,,0.0,0.0,4,2,28,14.0,0,1,50.0,20,0.4,5.6,50.0,7.0,2,14.0,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Bawden,27,FB,16,2,2,4,1,1,50.0,3,2.0,0.3,0.1,3,3,21,7.0,0,1,66.7,8,0.2,1.3,100.0,7.0,5,5.0,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Echols,26,CB,14,1,0,0,0,0,,,,0.0,0.0,1,1,18,18.0,0,1,100.0,18,0.1,1.3,100.0,18.0,1,18.0,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Taylor,28,WR,3,0,0,0,0,0,,,,0.0,0.0,4,2,13,6.5,0,0,25.0,7,0.7,4.3,50.0,3.3,2,6.5,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecole Hardman,25,WR,5,0,0,0,0,0,,,,0.0,0.0,3,1,6,6.0,0,0,33.3,6,0.2,1.2,33.3,2.0,1,6.0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Boyle,29,QB,3,2,4,5,0,3,75.0,2,1.3,1.7,1.3,0,0,0,,0,0,,,0.0,0.0,,,4,1.3,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashtyn Davis,27,S,17,5,2,3,0,1,50.0,4,1.5,0.2,0.1,0,0,0,,0,0,,,0.0,0.0,,,2,1.5,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irvin Charles,26,WR,12,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Totals,,,17,17,388,1647,7,77,40.5,83,4.2,96.9,22.8,563,356,3373,9.5,11,156,41.2,68,20.9,198.4,63.2,6.0,744,6.7,5020,18,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
